Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-04-14,2455.889892578125,2465.56005859375,2449.47998046875,2454.280029296875,488600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,2477.409912109375,2482.56005859375,2461.22998046875,2464.510009765625,560300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7166967147431933,0.34333934294863866,1.3733573717945546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008762615781874095,0.0
2025-04-16,2447.429931640625,2475.830078125,2442.719970703125,2472.780029296875,613200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505581294741205,0.40478310025373504,0.24577502922038547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012101340324106369,0.0
2025-04-17,2470.409912109375,2473.239990234375,2447.39990234375,2451.699951171875,601700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6410114333434649,0.6520287668716811,0.9889826664717838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00938943345084664,0.0
2025-04-18,2483.419921875,2486.3701171875,2466.89990234375,2473.300048828125,451000,2466.9119140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436142163452132,1.2088514461877713,2.227290717264361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005266336449612163,0.0
2025-04-21,2488.419921875,2498.840087890625,2479.22998046875,2486.3798828125,429000,2473.417919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2022857022725475,2.007538297404727,3.1947474048678206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020133526174763716,0.0
2025-04-22,2486.639892578125,2494.590087890625,2476.139892578125,2481.179931640625,416700,2475.263916015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.384734448865402,2.882977527696862,3.5017569211685395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007153251270926031,0.0
2025-04-23,2525.56005859375,2526.719970703125,2507.10009765625,2520.56005859375,538100,2490.88994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.343136488623713,4.375009319882233,5.96812716874148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01565170981604136,0.0
2025-04-24,2522.330078125,2530.610107421875,2507.2099609375,2525.340087890625,327900,2501.273974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.06891586712527,6.113790629330841,6.955125237794429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001278916515075279,0.0
2025-04-25,2546.300048828125,2553.330078125,2534.93994140625,2544.590087890625,403500,2513.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.96769890218775,8.284572283902222,8.683126618285527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009503106239348025,0.0
2025-04-28,2548.860107421875,2558.68994140625,2541.969970703125,2551.22998046875,454100,2525.938037109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.03315810349386,10.63428944782055,9.398868655673311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010054033478608115,0.0
2025-04-29,2565.419921875,2571.409912109375,2542.25,2550.25,547100,2541.69404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5275838944699,13.21294833715042,10.314635557319479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006496949128320217,0.0
2025-04-30,2556.610107421875,2570.830078125,2544.4599609375,2561.0400390625,487500,2547.904052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.294484043338798,15.629255478388096,9.665228564950702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003434063319616709,0.0
2025-05-02,2559.7900390625,2567.0400390625,2540.570068359375,2556.52001953125,585500,2555.396044921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.64422105388894,17.832248593488266,8.811972460400675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001243807818561704,0.0
2025-05-07,2573.800048828125,2581.85009765625,2559.169921875,2577.0400390625,546800,2560.896044921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.68723923931535,28.515677085579227,19.968934291906457,8.54674279367277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005473108947152472,0.0
2025-05-08,2579.47998046875,2590.89990234375,2575.780029296875,2581.27001953125,471600,2567.02001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.90732371631911,30.110052545151575,21.997157942555482,8.112894602596093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022068270778108356,0.0
2025-05-09,2577.27001953125,2589.580078125,2571.199951171875,2587.929931640625,485600,2569.3900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.09893823485503,30.839779425356483,23.765682239115684,7.074097186240799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000856746690896304,0.0
2025-05-12,2607.330078125,2607.330078125,2585.60009765625,2593.93994140625,409700,2579.534033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5137825963207,33.458005678860445,25.704146927064638,7.753858751795807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011663527052247824,0.0
2025-05-13,2608.419921875,2620.639892578125,2601.580078125,2601.760009765625,422500,2589.260009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.79381827904172,35.21497383270162,27.606312308192038,7.6086615245095786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041799224392180534,0.0
