Price,Close,High,Low,Open,Volume,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
Ticker,012630.KS,012630.KS,012630.KS,012630.KS,012630.KS,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10,15344.2734375,15403.327729113214,15078.529125240539,15354.115819435536,112917,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2025-04-11,16082.4521484375,16092.294530413288,14576.567706141945,15206.480152592374,136589,,,,,,,,,,,58.886051014958866,11.777210202991775,47.10884081196709,,,,,,,0.04810776567194508,
2025-04-14,16535.201171875,16574.5706984747,15895.446364629837,16289.14163062686,186605,,,,,,,,,,,140.4675110756507,37.515270377523564,102.95224069812713,,,,,,,0.028151740745672837,
2025-04-15,16682.837890625,16820.631241934,16476.147863661507,16554.88692155236,179977,,,,,,,,,,,214.56112816222776,72.92444193446441,141.63668622776333,,,,,,,0.008928631542815424,
2025-04-16,17558.810546875,17588.33769465562,16633.62658308226,16732.05040901766,320391,16440.7150390625,,,,,,,,,,340.04470241054514,126.34849402968055,213.6962083808646,,,,,,,0.05250741282706195,
2025-04-17,17558.810546875,17686.761520591015,17066.69141719801,17558.810546875,136351,16883.6224609375,,,,,,,,,,434.4828907542633,187.9753733745971,246.50751737966618,,,,,,,0.0,
2025-04-18,17903.29296875,18021.40155348062,17322.59242715778,17391.489101583975,158749,17247.790625,,,,,,,,,,531.0016316203764,256.580625023753,274.42100659662344,,,,,,,0.01961877890050534,
2025-04-21,17814.7109375,18021.400953901935,17519.439485497238,18001.716190435083,74739,17503.692578125,,,,,,,,,,593.504054232053,323.965310865413,269.53874336664,,,,,,,-0.00494780660767935,
2025-04-22,18001.716796875,18287.14587675984,17696.60295286017,17696.60295286017,140273,17767.468359375,,,,,,,,,,650.627456123173,389.29773991696504,261.329716206208,,,,,,,0.010497271610585113,
2025-04-23,17470.228515625,18405.254830545775,17401.33183978873,18001.717157790492,205141,17749.751953125,,,,,,,,,,645.569774700285,440.5521468736291,205.01762782665594,,,,,,,-0.029524310778084373,
