Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-04-14,16831.48046875,17136.560546875,16661.259765625,17120.439453125,9667260000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,16823.169921875,16979.9609375,16753.220703125,16842.390625,7483050000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6629496082641708,-0.13258992165283418,-0.5303596866113367,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004937502016194584,0.0
2025-04-16,16307.16015625,16600.369140625,16066.4599609375,16499.689453125,7909190000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.33797177732049,-8.573666292786367,-33.76430548453412,0.0,0.0,0.0,0.0,0.0,0.0,-0.03067256456549472,0.0
2025-04-17,16286.4501953125,16408.509765625,16181.169921875,16399.970703125,7046290000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.1589350697177,-22.090720048172635,-54.068215021545065,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012699918771302832,0.0
2025-04-21,15870.900390625,16066.7900390625,15685.330078125,16052.759765625,6678730000,16423.8322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.93820485997276,-44.66021701053266,-90.2779878494401,0.0,0.0,0.0,0.0,0.0,0.0,-0.025515063117136583,0.0
2025-04-22,16300.419921875,16410.560546875,16038.73046875,16079.9404296875,6981900000,16317.6201171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.18891568014806,-64.76595674445575,-80.42295893569231,0.0,0.0,0.0,0.0,0.0,0.0,0.027063337345606397,0.0
2025-04-23,16708.05078125,17029.859375,16642.66015625,16880.2890625,8564870000,16294.5962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.0479634018775,-75.6223580759401,-43.4256053259374,0.0,0.0,0.0,0.0,0.0,0.0,0.025007383940334194,0.0
2025-04-24,17166.0390625,17174.349609375,16744.970703125,16754.759765625,7607400000,16466.3720703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.67581068070285,-72.63304859689265,11.957237916189797,0.0,0.0,0.0,0.0,0.0,0.0,0.02741123349732466,0.0
2025-04-25,17382.939453125,17404.490234375,17110.720703125,17182.109375,7412930000,16685.669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0514148992006085,-57.496155897674,60.54757079687461,0.0,0.0,0.0,0.0,0.0,0.0,0.012635436155963742,0.0
2025-04-28,17366.130859375,17467.349609375,17128.7109375,17390.9296875,10313290000,16984.716015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.60452244870612,-35.67602022839798,87.28054267710411,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009669592300730612,0.0
