Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-04-10,681.7899780273438,681.7899780273438,669.989990234375,670.1199951171875,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,695.5900268554688,695.5900268554688,672.739990234375,673.0900268554688,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1008585959758648,0.22017171919517298,0.8806868767806918,0.0,0.0,0.0,0.0,0.0,0.0,0.020240908891112408,0.0
2025-04-14,708.97998046875,709.0499877929688,699.2100219726562,699.989990234375,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0189536976319005,0.7799281148825186,2.239025582749382,0.0,0.0,0.0,0.0,0.0,0.0,0.019249778024870157,0.0
2025-04-15,711.9199829101562,712.6900024414062,704.6099853515625,709.510009765625,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.721860838726798,1.5683146596513744,3.1535461790754233,0.0,0.0,0.0,0.0,0.0,0.0,0.004146806006373405,0.0
2025-04-16,699.1099853515625,711.3800048828125,698.5800170898438,710.3800048828125,1000,699.4779907226563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9803568182297795,2.2507230913670555,2.729633726862724,0.0,0.0,0.0,0.0,0.0,0.0,-0.01799359178854565,0.0
2025-04-17,711.75,711.9099731445312,700.1099853515625,700.1099853515625,1100,705.4699951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.134446212094872,3.027467715512619,3.106978496582253,0.0,0.0,0.0,0.0,0.0,0.0,0.018080151783386622,0.0
2025-04-18,717.77001953125,717.77001953125,708.2000122070312,713.52001953125,1200,709.9059936523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4489685634895295,3.9117678851080013,3.537200678381528,0.0,0.0,0.0,0.0,0.0,0.0,0.00845805343343864,0.0
2025-04-21,715.4500122070312,722.1799926757812,714.0499877929688,717.25,1200,711.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.208904652667457,4.771195238619892,3.437709414047564,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032322432827911474,0.0
2025-04-22,716.1199951171875,717.8599853515625,711.030029296875,711.4199829101562,1300,712.0400024414063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76419333471199,5.569794857838312,3.194398476873678,0.0,0.0,0.0,0.0,0.0,0.0,0.0009364496452930471,0.0
2025-04-23,726.0800170898438,726.0999755859375,720.4199829101562,724.3300170898438,1100,717.4340087890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.893903390147216,6.434616564300093,3.4592868258471228,0.0,0.0,0.0,0.0,0.0,0.0,0.013908314305658198,0.0
2025-04-24,726.0800170898438,729.489990234375,723.3300170898438,726.9500122070312,1200,720.3000122070313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666252825144738,7.280943816469023,3.3853090086757156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-25,729.6900024414062,732.7999877929688,728.2100219726562,729.5599975585938,1000,722.6840087890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.437793204539275,8.112313694083074,3.3254795104562014,0.0,0.0,0.0,0.0,0.0,0.0,0.004971883630720875,0.0
2025-04-28,719.4099731445312,732.4400024414062,718.1400146484375,730.5800170898438,1000,723.4760009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.091871868934732,8.708225329053406,2.383646539881326,0.0,0.0,0.0,0.0,0.0,0.0,-0.014088214532856358,0.0
2025-04-29,726.4600219726562,727.7999877929688,721.4199829101562,722.9400024414062,900,725.5440063476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.256844838793768,9.217949231001478,2.0388956077922895,0.0,0.0,0.0,0.0,0.0,0.0,0.009799765212190836,0.0
2025-04-30,717.239990234375,727.27001953125,715.3300170898438,726.1900024414062,900,723.7760009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.92768763286392,10.52231292621309,9.478821970043802,1.043490956169288,0.0,0.0,0.0,0.0,0.0,0.0,-0.01269172626078563,0.0
2025-05-02,721.8599853515625,723.77001953125,714.0700073242188,716.5999755859375,700,722.9319946289063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.74957272875384,10.195459181531419,9.622149412341326,0.573309769190093,0.0,0.0,0.0,0.0,0.0,0.0,0.006441351820996255,0.0
2025-05-07,722.8099975585938,722.8099975585938,714.7999877929688,722.4099731445312,700,721.5559936523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.32229648679362,9.89897406837838,9.677514343548737,0.22145972482964282,0.0,0.0,0.0,0.0,0.0,0.0,0.0013160615996308245,0.0
2025-05-08,729.5900268554688,730.719970703125,725.8099975585938,725.8099975585938,700,723.5920043945313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.163354546628995,10.094733378697129,9.760958150578414,0.3337752281187143,0.0,0.0,0.0,0.0,0.0,0.0,0.00938009894685421,0.0
2025-05-09,722.52001953125,731.010009765625,719.8300170898438,731.010009765625,900,722.80400390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.41678820044805,9.56907717284173,9.722581955031078,-0.15350478218934782,0.0,0.0,0.0,0.0,0.0,0.0,-0.009690383727818275,0.0
2025-05-12,725.4000244140625,727.5599975585938,719.22998046875,724.469970703125,1016100,724.4360107421875,716.2810028076171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.554802480022424,9.277932931864939,9.63365215039785,-0.35571921853291144,716.2810028076171,740.8510237595166,691.7109818557177,0.06860441881214766,51745.0,19.636679872451445,0.0039860554793775815,0.0
2025-05-13,731.8800048828125,735.8499755859375,730.760009765625,731.1099853515625,1200,726.4400146484375,718.7855041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81357526607848,9.461018559012814,9.599125432120843,-0.13810687310802905,718.7855041503906,738.2291106022981,699.3418976984831,0.05410127594292535,51760.0,0.023183925811437404,0.008932975255941278,0.17333207744791534
2025-05-14,739.0499877929688,739.0499877929688,726.510009765625,732.2000122070312,1000,729.6880126953125,720.9585021972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.37655788946242,10.068608287542816,9.693022003205238,0.3755862843375777,720.9585021972656,739.1616622551744,702.7553421393568,0.0504971090636452,51760.0,0.019319938176197836,0.009796664565667745,0.1637383230527502
2025-05-15,733.22998046875,738.280029296875,732.5900268554688,738.1500244140625,1100,730.4160034179688,722.1710021972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.446914632910186,9.965624062806228,9.747542415125437,0.21808164768079052,722.1710021972656,740.2447545680541,704.0972498264771,0.05005394100787098,51760.0,0.02125193199381762,-0.007874984669980267,0.15636540053638034
