Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-04-10,1566749.125,1583662.0,1534460.875,1537536.0,113646,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
2025-04-11,1606725.0,1611337.625,1542148.5,1546761.125,49174,,,,,,,,,,,3188.9586894584354,637.7917378916871,2551.166951566748,,,,,,,0.025515173017888193,
2025-04-14,1595962.25,1611337.625,1583662.0,1611337.625,31086,,,,,,,,,,,4792.52223602077,1468.7378375175037,3323.784398503266,,,,,,,-0.006698563848822947,
2025-04-15,1589812.125,1603650.0,1568286.625,1591349.75,43346,,,,,,,,,,,5503.651541891275,2275.720578392258,3227.930963499017,,,,,,,-0.0038535529270821156,
2025-04-16,1572899.25,1605187.5,1566749.125,1594424.75,27933,1586429.55,,,,,,,,,,4648.909242594382,2750.3583112326833,1898.5509313616985,,,,,,,-0.01063828532569533,
2025-04-17,1628250.5,1635938.25,1577511.875,1580587.0,54033,1598729.825,,,,,,,,,,8341.744657759555,3868.6355805380576,4473.1090772214975,,,,,,,0.035190588335521245,
2025-04-18,1612875.25,1632863.125,1608262.625,1631325.625,18594,1599959.875,,,,,,,,,,9913.413491204847,5077.591162671415,4835.822328533432,,,,,,,-0.009442803794624921,
2025-04-21,1648238.5,1659001.25,1609800.125,1619025.375,26033,1610415.125,,,,,,,,,,13852.804588734172,6832.633847883966,7020.170740850206,,,,,,,0.021925595299450373,
2025-04-22,1652851.125,1666689.0,1635938.25,1645163.5,42018,1623022.925,,,,,,,,,,17149.314085787162,8895.969895464606,8253.344190322556,,,,,,,0.0027985179329326204,
2025-04-23,1639013.375,1666689.0,1608262.625,1665151.375,55727,1636245.75,,,,,,,,,,18432.749571104767,10803.32583059264,7629.423740512128,,,,,,,-0.008372048632026674,
2025-04-24,1608262.625,1652851.125,1582124.5,1646701.0,79113,1632248.175,,,,,,,,,,16775.179087280994,11997.69648193031,4777.482605350684,,,,,,,-0.018761744393940627,
2025-04-25,1591349.75,1614412.75,1582124.5,1609800.125,60864,1627943.075,,,,,,,,,,13936.167408076813,12385.390667159612,1550.776740917201,,,,,,,-0.010516239535194094,
2025-04-28,1594424.75,1606725.0,1583662.0,1603650.0,37278,1617180.325,,,,,,,,,,11798.35293111531,12267.983119950753,-469.6301888354428,,,,,,,0.001932321917290647,
