Date,Open,High,Low,Close,Volume,Change,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-07-28,106300,107500,104500,105500,1045072,0.01344860710854956,103700.0,100820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.41441441441441,1928.4979828210926,1564.8289752321273,363.6690075889653,100820.0,105773.9351715793,95866.0648284207,9907.870343158604,0.9723517605608806,1042227.9,1.002728865730806,0.01344860710854956,0.3568116461610048
2025-07-29,104300,106400,103500,105700,1196086,0.0018957345971564177,105280.0,101170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.926940639269404,2063.230810415189,1664.5093422687396,398.7214681464493,101170.0,106470.2879762876,95869.7120237124,10600.575952575193,0.9273352712405628,1051039.75,1.1380026302525665,0.0018957345971564177,0.35297128777091796
2025-07-30,105000,112400,105000,110400,1917384,0.04446546830652798,106140.0,101690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.73180076628353,2520.206891175054,1835.6488520500027,684.5580391250512,101690.0,108368.44923695062,95011.55076304938,13356.898473901238,1.1520974923197045,1095740.65,1.7498520293100381,0.04446546830652798,0.3805591059427712
2025-07-31,112700,113200,102300,102300,3132736,-0.07336956521739135,105600.0,101800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.23880597014925,2203.36243147208,1909.1915679344183,294.1708635376617,101800.0,108440.54531685938,95159.45468314062,13281.090633718763,0.5376475105689377,1213647.7,2.5812564881884588,-0.07336956521739135,0.4720640848834596
2025-08-01,101300,104100,100800,100800,1374554,-0.014662756598240456,104940.0,101885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.646341463414636,1810.354807129639,1889.4242157734627,-79.06940864382364,101885.0,108422.75271223344,95347.24728776656,13075.505424466886,0.4170204160544502,1258860.4,1.09190343901516,-0.014662756598240456,0.4738611214991037
2025-08-04,100700,103700,100500,102800,775610,0.01984126984126977,104400.0,102095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.40251572327044,1641.356186267265,1839.8106098722233,-198.45442360495827,102095.0,108455.89202615648,95734.10797384352,12721.784052312956,0.5554167557868401,1276136.45,0.6077798342018991,0.01984126984126977,0.47768029821918223
2025-08-05,103000,104200,101300,101400,891875,-0.013618677042801508,103540.0,102210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.90519877675841,1378.5640338962694,1747.5612946770327,-368.9972607807633,102210.0,108424.38060596463,95995.61939403537,12428.76121192926,0.43482858136959,1288574.2,0.69214097255711,-0.013618677042801508,0.48094967179786524
2025-08-06,101300,102700,101200,101800,780400,0.0039447731755424265,101820.0,102320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.46913580246914,1188.8714468945254,1635.8233251205315,-446.9518782260061,102320.0,108416.62546867225,96223.37453132775,12193.250937344506,0.4573534570335601,1275705.35,0.6117400072046417,0.0039447731755424265,0.4808603688597348
2025-08-07,103000,103300,101500,101800,649320,0.0,101720.0,102405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.125,1026.7035061165807,1513.9993613197416,-487.29585520316095,102405.0,108418.13474601095,96391.86525398905,12026.269492021907,0.4496934606029413,1251033.3,0.5190269515607618,0.0,0.4807066607531267
2025-08-08,102300,102400,101400,101900,664464,0.0009823182711199419,101940.0,102460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.11392405063291,895.9257347821112,1390.3846360122157,-494.4589012301044,102460.0,108431.29977916295,96488.70022083705,11942.599558325892,0.45310903649870465,1229885.05,0.5402651247773115,0.0009823182711199419,0.48023157370977543
