Date,Open,High,Low,Close,Volume,Change,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-12,90200,92400,89800,92400,813230,0.034714445688689866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,94000,94800,92700,93700,1369914,0.01406926406926412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.70370370369346,20.740740740738694,82.96296296295478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01406926406926412,0.0
2025-05-14,93600,94000,91800,92400,878937,-0.0138740661686233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.06753191939788,32.606098976470534,47.461432942927345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0138740661686233,0.0
2025-05-15,91900,92500,90900,91200,761239,-0.012987012987012991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.08978252038651,19.06692267709913,-54.156705197485635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012987012987012991,0.0
2025-05-16,91300,92300,91300,92000,500754,0.00877192982456143,92340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.095202294920455,3.0344976826952124,-64.12969997761567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00877192982456143,0.0
2025-05-19,91300,91900,90800,91500,555859,-0.005434782608695676,92160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.65961719184997,-21.704325292213824,-98.95529189963615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005434782608695676,0.0
2025-05-20,92300,92800,90900,91200,710012,-0.003278688524590123,91660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-189.8834793795686,-55.340156109684784,-134.5433232698838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003278688524590123,0.0
2025-05-21,92700,92700,90900,91200,748573,0.0,91420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-241.95478474738775,-92.66308183722538,-149.29170291016237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-22,90500,91100,88400,89200,1103198,-0.021929824561403466,91020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-439.53823157689476,-162.03811178515926,-277.50011979173553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021929824561403466,0.0
2025-05-23,89200,89500,86900,87100,879529,-0.023542600896861,90040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-756.8524622088298,-281.0009818698934,-475.8514803389364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023542600896861,0.0
2025-05-26,87000,88400,86200,88100,760388,0.01148105625717566,89360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-917.063298604684,-408.21344521685154,-508.8498533878324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01148105625717566,0.0
2025-05-27,87300,88500,87100,88200,607447,0.0011350737797957144,88760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1024.156537392264,-531.402063651934,-492.75447374033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011350737797957144,0.0
2025-05-28,88500,90000,88500,89000,842967,0.009070294784580435,88320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1032.5725331672584,-631.6361575549988,-400.93637561225955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009070294784580435,0.0
