Date,Open,High,Low,Close,Volume,Change,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-13,392500,410500,386000,409500,273519,0.012360939431396822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-14,410000,418000,407000,416000,131113,0.015873015873015817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.5185185184819,103.70370370369638,414.8148148147855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015817,0.0
2025-05-15,413500,417000,405000,416500,124638,0.0012019230769231282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.7422180013964,274.71140656323644,684.03081143816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012019230769231282,0.0
2025-05-16,420000,431500,417500,419500,202435,0.007202881152460927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532.0372279325384,526.1765708370968,1005.8606570954415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007202881152460927,0.0
2025-05-19,415000,423500,412500,423500,119043,0.009535160905840279,417000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282.8291903806385,877.5070947458053,1405.3220956348332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009535160905840279,0.0
2025-05-20,417500,418500,395500,397000,303082,-0.06257378984651707,414500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0812499581953,848.2219257882833,-117.14067583008807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06257378984651707,0.0
2025-05-21,398000,414000,398000,399000,160850,0.005037783375314797,411100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-333.46293413295643,611.8849538040354,-945.3478879369918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005037783375314797,0.0
2025-05-22,398500,399500,388000,394000,121165,-0.01253132832080206,406600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1562.5677742712433,176.9944081889796,-1739.5621824602229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01253132832080206,0.0
2025-05-23,394000,395000,385000,389000,119495,-0.012690355329949221,400500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2906.5950105702505,-439.72347556286644,-2466.871535007384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012690355329949221,0.0
2025-05-26,389000,412500,385000,412500,208113,0.06041131105398456,398300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2051.840338034497,-762.1468480571926,-1289.6934899773046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06041131105398456,0.0
